open	high	low	close	volume	companyName	datetime	SMA20	SMA40	SMA100	SMA200	trendlower	trendhigher	tip_vela	cncf01	tip_caida	id_cncf01	ind_posicion	id_cncf	ind_high	iniTrendLow	x	sl_highs	interc_highs	trend
143.5722	143.6	141.92	142.4599	6830723	AAPL	2022-12-06 15:00:00	146.11381	145.8239675	147.244699					0		3.0	-1	1			12	-0.39703090909090916	148.81382813852812	144.04945722943722
142.47	143.01	141.98	142.92	10712349	AAPL	2022-12-06 16:00:00	145.927955	145.86796750000002	147.173949	145.777265				0		3.0	-1	1			13	-0.39703090909090916	148.81382813852812	143.6524263203463
141.354	142.96	140.47	141.51	358126	AAPL	2022-12-07 09:00:00	145.691455	145.8717175	147.077449	145.706965				0		3.0	-1	1			14	-0.39703090909090916	148.81382813852812	143.2553954112554
141.6	143.37	140.64	140.8599	9111601	AAPL	2022-12-07 10:00:00	145.410955	145.8441975	146.97519799999998	145.6469495			inverted_hammer	0		3.0	-1	1			15	-0.39703090909090916	148.81382813852812	142.85836450216448
140.86	142.23	140.58	141.8801	10600927	AAPL	2022-12-07 11:00:00	145.15896	145.8617	146.89179099999998	145.6061				0		3.0	-1	1			16	-0.39703090909090916	148.81382813852812	142.4613335930736
141.88	142.16	140.6	141.08	6296048	AAPL	2022-12-07 12:00:00	144.82296	145.8497	146.79509099999999	145.56119999999999				0		3.0	-1	1			17	-0.39703090909090916	148.81382813852812	142.06430268398267
141.08	141.3589	140.69	140.89	4887025	AAPL	2022-12-07 13:00:00	144.49746	145.8406775	146.684991	145.515325				0		3.0	-1	1			18	-0.39703090909090916	148.81382813852812	141.66727177489176
140.89	141.43	140.72	140.865	4319120	AAPL	2022-12-07 14:00:00	144.04271	145.75755250000003	146.578841	145.4691			inverted_hammer	0		3.0	-1	1			19	-0.39703090909090916	148.81382813852812	141.27024086580084
140.86	141.45	140.63	140.745	4874529	AAPL	2022-12-07 15:00:00	143.68545999999998	145.6239275	146.476386	145.417975	140.745		inverted_hammer	1	CN	3.0	0	1			20	-0.39703090909090916	148.81382813852812	140.87320995670993
140.75	141.15	140.0	140.94	11225975	AAPL	2022-12-07 16:00:00	143.40906	145.4471775	146.371586	145.369825			hammer	0		3.0	1	1			21	-0.39703090909090916	148.81382813852812	140.47617904761904
141.34	142.75	140.5	142.57	298195	AAPL	2022-12-08 09:00:00	143.20456000000001	145.3059275	146.290786	145.338375				0		3.0	1	1			22	-0.39703090909090916	148.81382813852812	140.07914813852813
142.58	142.78	141.1	142.46	6823263	AAPL	2022-12-08 10:00:00	143.01955	145.1606775	146.205486	145.307275			hammer	0		3.0	1	1			23	-0.39703090909090916	148.81382813852812	139.6821172294372
142.47	143.52	142.17	142.99	8648514	AAPL	2022-12-08 11:00:00	142.86728499999998	145.0301525	146.123286	145.275725		142.99		0		3.0	1	1			24	-0.39703090909090916	148.81382813852812	139.2850863203463
143.01	143.24	142.15	142.8041	6068277	AAPL	2022-12-08 12:00:00	142.67699	144.9087575	146.03822699999998	145.2451725				0		3.0	1	1			25			
142.8026	143.05	141.88	142.43	4586748	AAPL	2022-12-08 13:00:00	142.43798999999999	144.7715075	145.95982700000002	145.2112725				0		3.0	1	1			26			
142.425	143.27	142.19	142.6101	4194723	AAPL	2022-12-08 14:00:00	142.31195499999998	144.6316525	145.88952799999998	145.17917300000002			inverted_hammer	0		3.0	1	1			27			
142.6145	142.73	141.55	142.42	6120754	AAPL	2022-12-08 15:00:00	142.22670499999998	144.47126	145.833127	145.152348	142.42		hammer	0		3.0	1	1			28			
