Close	High	Low	Open	Volume	datetime	companyName	SMA20	SMA40	pivotHigh	pivotLow	isPivot	rcb01_01	PM40_PM20	trendH	trendcurrhigh	cdlengulfing	cdlhammer	cdlmorningstar	cdlpiercing	cdlclosingmarubozu	cdlmarubozu	cdl3whitesoldiers	cdlharami	cdlharamicross	cdlinvertdhammer	cdlladderbottom	Vela_Verde	Third_Level	Above_Third	bearishSlope	ind_posicion	promVol	sl_highs	r_sq_h	isBreakOut	isBreakOutFinal	breakpointpos	caso
411.57000732421875	412.1700134277344	410.1400146484375	411.8699951171875	18125524	2023-04-12 13:30:00+00:00	SPY						0				0	0	0	0	0	0	0	0	0	0	0	False	412.5466613769531	False		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
409.5874938964844	411.44000244140625	408.2300109863281	411.17999267578125	12085015	2023-04-12 14:30:00+00:00	SPY						0				0	0	0	0	0	0	0	0	0	0	0	False	412.24998982747394	False		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
410.5299987792969	410.760009765625	409.260009765625	409.5799865722656	7278215	2023-04-12 15:30:00+00:00	SPY						0				0	0	0	0	0	0	0	0	0	0	0	True	410.0799865722656	True		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
411.19000244140625	411.4800109863281	410.239990234375	410.5299987792969	5609388	2023-04-12 16:30:00+00:00	SPY						0				0	0	0	0	0	0	0	0	0	0	0	True	410.94333902994794	True		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
409.6300048828125	411.4800109863281	409.42999267578125	411.19000244140625	7831089	2023-04-12 17:30:00+00:00	SPY						0				0	0	0	0	0	0	0	0	0	0	0	False	411.8733418782552	False		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
407.5799865722656	409.6300048828125	407.4599914550781	409.6300048828125	12181364	2023-04-12 18:30:00+00:00	SPY	409.44690704345703			407.4609914550781	2.0	0				0	0	0	0	0	0	0	0	0	0	0	False	410.3533426920573	False		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
408.05999755859375	408.489990234375	407.44000244140625	407.5899963378906	14655928	2023-04-12 19:30:00+00:00	SPY	409.5259063720703					0				0	0	0	0	0	0	0	0	0	0	0	True	407.9399922688802	True		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
410.7200012207031	410.8500061035156	408.7007141113281	409.17999267578125	14510211	2023-04-13 13:30:00+00:00	SPY	409.6924057006836					0				0	0	0	0	0	0	0	0	0	0	0	True	409.89642333984375	True		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
410.7900085449219	410.8800048828125	410.1000061035156	410.739990234375	7774309	2023-04-13 14:30:00+00:00	SPY	409.8868713378906					0				0	0	0	0	0	0	0	0	0	0	0	True	410.99998982747394	False		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
411.4100036621094	411.5	410.3399963378906	410.7349853515625	7710057	2023-04-13 15:30:00+00:00	SPY	410.023371887207					0				0	0	0	0	0	0	0	0	0	0	0	True	411.1216532389323	True		-1	9468747.710526315	-0.5355747410508452	0.9944163587085413	0.0			1
