fecha	open	high	low	close	volume	companyName	fecha2
2024-10-25 20:00:00	579.04	579.04	579.04	579.04	1909067	SPY	2024-10-25 21:00:00
2024-10-25 19:00:00	578.5	578.73	577.55	577.95	93724	SPY	2024-10-25 20:00:00
2024-10-25 18:00:00	578.73	579.04	578.36	578.5	1998903	SPY	2024-10-25 19:00:00
2024-10-25 17:00:00	578.625	579.04	578.51	578.73	904805	SPY	2024-10-25 18:00:00
2024-10-25 16:00:00	579.02	581.4744	578.45	578.63	11893703	SPY	2024-10-25 17:00:00
2024-10-25 15:00:00	580.2	580.2599	578.54	579.015	8868832	SPY	2024-10-25 16:00:00
2024-10-25 14:00:00	579.25	580.52	578.08	580.2	4243106	SPY	2024-10-25 15:00:00
2024-10-25 13:00:00	582.03	582.05	578.53	579.1899	6774243	SPY	2024-10-25 14:00:00
2024-10-25 12:00:00	582.17	582.8	581.8	582.03	2308217	SPY	2024-10-25 13:00:00
2024-10-25 11:00:00	583.48	583.8404	581.7032	582.17	4954779	SPY	2024-10-25 12:00:00
2024-10-25 10:00:00	583.3	584.46	582.99	583.46	5989878	SPY	2024-10-25 11:00:00
2024-10-25 09:00:00	581.63	583.49	581.43	583.3	4558086	SPY	2024-10-25 10:00:00
2024-10-25 08:00:00	580.5025	581.7	578.83	581.64	168271	SPY	2024-10-25 09:00:00
2024-10-25 07:00:00	580.67	581.25	580.19	581.0	176215	SPY	2024-10-25 08:00:00
2024-10-25 06:00:00	580.78	581.07	580.65	580.65	23006	SPY	2024-10-25 07:00:00
2024-10-25 05:00:00	580.36	580.98	580.36	580.78	17411	SPY	2024-10-25 06:00:00
2024-10-25 04:00:00	579.74	580.62	579.55	580.36	22390	SPY	2024-10-25 05:00:00
2024-10-24 20:00:00	579.24	579.24	579.24	579.24	1315936	SPY	2024-10-24 21:00:00
2024-10-24 19:00:00	579.3	579.38	579.0	579.38	26744	SPY	2024-10-24 20:00:00
2024-10-24 18:00:00	579.56	579.65	577.99	579.315	1392039	SPY	2024-10-24 19:00:00
2024-10-24 17:00:00	579.47	579.65	579.35	579.65	63624	SPY	2024-10-24 18:00:00
2024-10-24 16:00:00	579.17	579.94	577.9128	579.49	9057129	SPY	2024-10-24 17:00:00
2024-10-24 15:00:00	578.81	579.885	578.25	579.18	7952970	SPY	2024-10-24 16:00:00
2024-10-24 14:00:00	578.5322	579.36	578.0701	578.82	2576750	SPY	2024-10-24 15:00:00
2024-10-24 13:00:00	578.86	579.5601	578.42	578.49	2334261	SPY	2024-10-24 14:00:00
2024-10-24 12:00:00	578.06	578.99	576.57	578.88	3570042	SPY	2024-10-24 13:00:00
2024-10-24 11:00:00	578.82	579.36	577.04	578.06	3296723	SPY	2024-10-24 12:00:00
2024-10-24 10:00:00	579.39	579.93	578.54	578.8004	3602074	SPY	2024-10-24 11:00:00
2024-10-24 09:00:00	580.54	580.91	578.62	579.39	4177263	SPY	2024-10-24 10:00:00
2024-10-24 08:00:00	580.4527	581.29	575.305	580.52	246274	SPY	2024-10-24 09:00:00
2024-10-24 07:00:00	580.51	581.09	579.4	581.0	485048	SPY	2024-10-24 08:00:00
2024-10-24 06:00:00	580.45	580.94	580.36	580.55	81276	SPY	2024-10-24 07:00:00
2024-10-24 05:00:00	580.52	580.71	580.34	580.47	25243	SPY	2024-10-24 06:00:00
2024-10-24 04:00:00	579.72	580.97	579.72	580.49	40708	SPY	2024-10-24 05:00:00
2024-10-23 20:00:00	577.99	577.99	577.99	577.99	2326839	SPY	2024-10-23 21:00:00
2024-10-23 19:00:00	578.5	578.63	578.13	578.535	59617	SPY	2024-10-23 20:00:00
2024-10-23 18:00:00	578.78	578.81	577.99	578.515	2387798	SPY	2024-10-23 19:00:00
2024-10-23 17:00:00	578.514	583.32	577.99	578.775	449632	SPY	2024-10-23 18:00:00
2024-10-23 16:00:00	577.93	583.2714	577.65	578.44	11777208	SPY	2024-10-23 17:00:00
2024-10-23 15:00:00	577.15	578.13	576.66	577.93	11287216	SPY	2024-10-23 16:00:00
2024-10-23 14:00:00	575.96	577.23	574.415	577.17	8050426	SPY	2024-10-23 15:00:00
2024-10-23 13:00:00	578.15	578.15	575.86	575.95	5451036	SPY	2024-10-23 14:00:00
2024-10-23 12:00:00	579.83	579.83	577.6301	578.15	4089249	SPY	2024-10-23 13:00:00
2024-10-23 11:00:00	580.51	580.76	578.78	579.835	5264372	SPY	2024-10-23 12:00:00
2024-10-23 10:00:00	581.29	581.64	580.1	580.49	4373935	SPY	2024-10-23 11:00:00
2024-10-23 09:00:00	581.43	581.7086	580.885	581.31	2604496	SPY	2024-10-23 10:00:00
2024-10-23 08:00:00	582.0	583.43	581.3	581.415	330501	SPY	2024-10-23 09:00:00
2024-10-23 07:00:00	581.98	582.34	581.83	582.09	73407	SPY	2024-10-23 08:00:00
2024-10-23 06:00:00	582.43	582.43	581.77	581.99	42700	SPY	2024-10-23 07:00:00
2024-10-23 05:00:00	582.46	582.78	582.29	582.43	15172	SPY	2024-10-23 06:00:00
2024-10-23 04:00:00	583.07	583.23	582.43	582.52	38826	SPY	2024-10-23 05:00:00
2024-10-22 20:00:00	583.32	583.32	583.32	583.32	1686275	SPY	2024-10-22 21:00:00
2024-10-22 19:00:00	582.51	583.3801	582.44	583.07	38837	SPY	2024-10-22 20:00:00
2024-10-22 18:00:00	582.92	583.32	582.22	582.52	1777312	SPY	2024-10-22 19:00:00
2024-10-22 17:00:00	582.76	583.63	529.57	582.91	459488	SPY	2024-10-22 18:00:00
2024-10-22 16:00:00	583.32	583.5402	582.76	582.76	9861854	SPY	2024-10-22 17:00:00
2024-10-22 15:00:00	583.01	584.26	582.89	583.32	6141315	SPY	2024-10-22 16:00:00
2024-10-22 14:00:00	583.96	584.5	582.85	583.0201	3090216	SPY	2024-10-22 15:00:00
2024-10-22 13:00:00	582.57	583.98	582.06	583.98	4384653	SPY	2024-10-22 14:00:00
2024-10-22 12:00:00	582.01	582.6592	581.57	582.5601	2196002	SPY	2024-10-22 13:00:00
2024-10-22 11:00:00	581.985	582.5	581.54	582.02	3158181	SPY	2024-10-22 12:00:00
2024-10-22 10:00:00	581.33	582.24	581.02	581.99	3688233	SPY	2024-10-22 11:00:00
2024-10-22 09:00:00	580.95	583.965	580.05	581.32	3743338	SPY	2024-10-22 10:00:00
2024-10-22 08:00:00	582.3785	583.63	580.31	580.935	395614	SPY	2024-10-22 09:00:00
2024-10-22 07:00:00	580.88	581.5	580.83	581.12	166798	SPY	2024-10-22 08:00:00
2024-10-22 06:00:00	580.73	581.3	580.61	580.88	58814	SPY	2024-10-22 07:00:00
2024-10-22 05:00:00	581.69	581.86	580.53	580.73	59074	SPY	2024-10-22 06:00:00
2024-10-22 04:00:00	582.78	582.78	581.72	581.73	23031	SPY	2024-10-22 05:00:00
2024-10-21 20:00:00	583.63	583.63	583.63	583.63	729464	SPY	2024-10-21 21:00:00
2024-10-21 19:00:00	583.65	583.76	583.51	583.61	29028	SPY	2024-10-21 20:00:00
2024-10-21 18:00:00	584.0	584.03	583.63	583.66	767658	SPY	2024-10-21 19:00:00
2024-10-21 17:00:00	583.88	584.59	583.5375	584.0	438940	SPY	2024-10-21 18:00:00
2024-10-21 16:00:00	583.68	584.6035	582.1	583.88	7477271	SPY	2024-10-21 17:00:00
2024-10-21 15:00:00	582.385	583.73	582.1701	583.67	6997008	SPY	2024-10-21 16:00:00
2024-10-21 14:00:00	583.28	583.29	582.26	582.3888	3015697	SPY	2024-10-21 15:00:00
2024-10-21 13:00:00	582.83	583.38	582.6	583.25	2332991	SPY	2024-10-21 14:00:00
2024-10-21 12:00:00	582.33	582.8813	581.8	582.82	1989177	SPY	2024-10-21 13:00:00
2024-10-21 11:00:00	582.595	582.65	580.6001	582.3549	6529060	SPY	2024-10-21 12:00:00
2024-10-21 10:00:00	584.05	584.85	582.0653	582.6	5784875	SPY	2024-10-21 11:00:00
2024-10-21 09:00:00	583.29	584.47	583.23	584.0399	2743640	SPY	2024-10-21 10:00:00
2024-10-21 08:00:00	584.319	584.88	582.365	583.29	210668	SPY	2024-10-21 09:00:00
2024-10-21 07:00:00	582.81	583.04	582.35	582.62	208524	SPY	2024-10-21 08:00:00
2024-10-21 06:00:00	583.75	583.93	582.74	582.74	44483	SPY	2024-10-21 07:00:00
2024-10-21 05:00:00	584.44	584.48	583.27	583.75	29698	SPY	2024-10-21 06:00:00
2024-10-21 04:00:00	584.55	584.75	584.22	584.47	29884	SPY	2024-10-21 05:00:00
2024-10-18 20:00:00	584.59	584.59	584.59	584.59	1214044	SPY	2024-10-18 21:00:00
2024-10-18 19:00:00	584.72	584.84	584.65	584.72	20535	SPY	2024-10-18 20:00:00
2024-10-18 18:00:00	584.7	584.75	584.59	584.71	1225535	SPY	2024-10-18 19:00:00
2024-10-18 17:00:00	584.695	584.75	584.5804	584.725	469309	SPY	2024-10-18 18:00:00
2024-10-18 16:00:00	584.53	584.9	582.2725	584.675	6418259	SPY	2024-10-18 17:00:00
2024-10-18 15:00:00	584.85	584.85	584.06	584.57	5928288	SPY	2024-10-18 16:00:00
2024-10-18 14:00:00	584.565	585.39	583.84	584.8515	3190028	SPY	2024-10-18 15:00:00
2024-10-18 13:00:00	584.69	585.1199	584.4808	584.58	2505689	SPY	2024-10-18 14:00:00
2024-10-18 12:00:00	583.89	585.25	583.6901	584.675	2186881	SPY	2024-10-18 13:00:00
