index	trendhigher	companyName
13	342.0799865722656	TSLA
30	344.97998046875	TSLA
42	364.0733337402344	TSLA
49	344.9499816894531	TSLA
70	305.6666564941406	TSLA
84	311.4666442871094	TSLA
98	308.02667236328125	TSLA
111	318.5	TSLA
120	296.0	TSLA
133	275.1199951171875	TSLA
137	272.489990234375	TSLA
156	262.4499816894531	TSLA
172	254.82666015625	TSLA
184	244.6666717529297	TSLA
198	226.6516876220703	TSLA
234	259.3666687011719	TSLA
247	264.2099914550781	TSLA
259	244.8666534423828	TSLA
273	249.9633331298828	TSLA
281	255.546630859375	TSLA
313	235.66331481933594	TSLA
337	246.8333282470703	TSLA
357	252.07000732421875	TSLA
364	249.88665771484375	TSLA
381	229.4566650390625	TSLA
399	234.56333923339844	TSLA
414	254.97996520996094	TSLA
435	242.05995178222656	TSLA
448	243.623291015625	TSLA
456	250.51666259765625	TSLA
469	250.6199951171875	TSLA
483	280.7866516113281	TSLA
525	311.6266784667969	TSLA
535	307.8333435058594	TSLA
546	313.6066589355469	TSLA
561	305.1999816894531	TSLA
581	298.2366638183594	TSLA
598	313.1333312988281	TSLA
614	309.6566467285156	TSLA
644	303.64666748046875	TSLA
658	302.0	TSLA
670	287.5899963378906	TSLA
679	281.25	TSLA
683	278.4200134277344	TSLA
693	282.3500061035156	TSLA
729	305.20001220703125	TSLA
744	306.0	TSLA
752	307.9200134277344	TSLA
772	313.3299865722656	TSLA
780	309.9800109863281	TSLA
798	284.0899963378906	TSLA
806	288.6700134277344	TSLA
818	289.0	TSLA
827	275.57000732421875	TSLA
842	257.5	TSLA
854	244.5800018310547	TSLA
858	242.8800048828125	TSLA
868	226.69000244140625	TSLA
887	219.29989624023438	TSLA
893	222.99000549316406	TSLA
910	229.82000732421875	TSLA
918	222.92999267578125	TSLA
935	213.88999938964844	TSLA
953	230.60000610351562	TSLA
959	233.80999755859375	TSLA
973	228.97999572753906	TSLA
980	237.14999389648438	TSLA
1001	223.8000030517578	TSLA
1031	191.0	TSLA
1041	196.52000427246094	TSLA
1050	200.82369995117188	TSLA
1085	170.9199981689453	TSLA
1104	188.5	TSLA
1123	198.9199981689453	TSLA
1168	182.5	TSLA
1207	155.25	TSLA
1210	153.8800048828125	TSLA
1236	128.61729431152344	TSLA
1257	123.56999969482422	TSLA
1263	124.4800033569336	TSLA
1279	114.58999633789062	TSLA
1287	111.75	TSLA
1301	123.5199966430664	TSLA
1312	125.94999694824219	TSLA
1324	124.131103515625	TSLA
1340	136.67999267578125	TSLA
1368	146.5	TSLA
1394	180.67999267578125	TSLA
1418	196.75010681152344	TSLA
1424	199.0	TSLA
1431	198.1699981689453	TSLA
1452	214.0	TSLA
1488	217.64999389648438	TSLA
1501	209.7100067138672	TSLA
1515	205.13999938964844	TSLA
1520	203.27999877929688	TSLA
1536	211.22999572753906	TSLA
1540	209.41000366210938	TSLA
1560	200.47999572753906	TSLA
1585	185.17999267578125	TSLA
1594	178.2899932861328	TSLA
1609	183.8000030517578	TSLA
1623	185.80999755859375	TSLA
1635	186.44000244140625	TSLA
1648	200.66000366210938	TSLA
1652	200.61000061035156	TSLA
1669	197.38999938964844	TSLA
1702	207.7899932861328	TSLA
1711	198.74459838867188	TSLA
1728	186.38999938964844	TSLA
1746	191.5845947265625	TSLA
1757	186.5	TSLA
1767	189.69000244140625	TSLA
1774	187.69000244140625	TSLA
1785	183.24989318847656	TSLA
1799	166.0	TSLA
1810	163.47000122070312	TSLA
1833	165.0	TSLA
1844	165.49000549316406	TSLA
1852	165.0	TSLA
1876	172.4600067138672	TSLA
1886	174.42999267578125	TSLA
1900	177.3800048828125	TSLA
1916	169.51840209960938	TSLA
1936	181.9499969482422	TSLA
1950	192.9600067138672	TSLA
1977	204.47999572753906	TSLA
1982	201.99000549316406	TSLA
2005	221.2899932861328	TSLA
2019	230.82960510253906	TSLA
2033	252.4199981689453	TSLA
2055	261.57000732421875	TSLA
2063	258.95001220703125	TSLA
2082	276.989990234375	TSLA
2095	265.0	TSLA
2099	262.45001220703125	TSLA
2118	259.8800048828125	TSLA
2124	260.739990234375	TSLA
2141	282.9393005371094	TSLA
2147	283.8500061035156	TSLA
2158	279.9599914550781	TSLA
2170	270.8999938964844	TSLA
2176	275.9800109863281	TSLA
2202	290.6300048828125	TSLA
2213	299.2900085449219	TSLA
2229	267.4800109863281	TSLA
2239	272.8999938964844	TSLA
2253	269.1300048828125	TSLA
2270	268.69000244140625	TSLA
2295	264.7699890136719	TSLA
2308	251.5800018310547	TSLA
2314	250.4600067138672	TSLA
2324	251.8000030517578	TSLA
2335	243.7899932861328	TSLA
2379	240.82000732421875	TSLA
2390	238.97999572753906	TSLA
2407	244.3800048828125	TSLA
2423	260.510009765625	TSLA
2430	259.9200134277344	TSLA
2430	259.9200134277344	TSLA
2447	258.0	TSLA
2454	252.44000244140625	TSLA
2463	256.5199890136719	TSLA
2477	278.3900146484375	TSLA
2488	273.67999267578125	TSLA
2498	278.9800109863281	TSLA
2522	273.92999267578125	TSLA
2548	249.5500030517578	TSLA
2568	254.77000427246094	TSLA
2577	254.2799072265625	TSLA
2596	263.6000061035156	TSLA
2601	262.3900146484375	TSLA
2608	261.6499938964844	TSLA
2619	268.94000244140625	TSLA
2624	268.6000061035156	TSLA
2631	265.4100036621094	TSLA
2649	255.39990234375	TSLA
2655	257.1830139160156	TSLA
2683	216.97999572753906	TSLA
2687	222.0500030517578	TSLA
2695	220.10000610351562	TSLA
2709	214.63999938964844	TSLA
2729	204.72999572753906	TSLA
2743	226.37010192871094	TSLA
2750	226.32000732421875	TSLA
2764	224.14999389648438	TSLA
2770	222.9499969482422	TSLA
2800	246.6999969482422	TSLA
2817	237.38999938964844	TSLA
2829	242.9600067138672	TSLA
2842	238.75	TSLA
2858	252.75	TSLA
2875	240.19000244140625	TSLA
2887	246.66000366210938	TSLA
2896	246.57000732421875	TSLA
2901	244.0800018310547	TSLA
2908	245.27000427246094	TSLA
2926	237.5261993408203	TSLA
2949	258.739990234375	TSLA
2957	258.33990478515625	TSLA
2963	259.8399963378906	TSLA
2977	258.2200012207031	TSLA
2995	263.2499084472656	TSLA
3012	251.25	TSLA
3027	242.6999969482422	TSLA
3045	241.16000366210938	TSLA
3075	223.49000549316406	TSLA
3089	217.4499969482422	TSLA
3096	213.19000244140625	TSLA
3103	217.8000030517578	TSLA
3110	215.64999389648438	TSLA
3117	212.72999572753906	TSLA
3131	186.77999877929688	TSLA
3146	196.3592987060547	TSLA
3157	193.97000122070312	TSLA
3164	188.97000122070312	TSLA
3170	188.69000244140625	TSLA
3180	186.49000549316406	TSLA
3196	191.61709594726562	TSLA
3208	194.72999572753906	TSLA
3236	203.1699981689453	TSLA
3250	199.44000244140625	TSLA
3263	198.32000732421875	TSLA
3273	201.77999877929688	TSLA
3278	205.60000610351562	TSLA
3287	205.3000030517578	TSLA
3303	204.52000427246094	TSLA
3334	182.00999450683594	TSLA
3341	182.8699951171875	TSLA
3353	179.42999267578125	TSLA
3369	165.1844940185547	TSLA
3381	174.23399353027344	TSLA
3397	178.17999267578125	TSLA
3419	184.25	TSLA
3428	181.91000366210938	TSLA
3444	174.08680725097656	TSLA
3463	177.19000244140625	TSLA
3481	179.22000122070312	TSLA
