open	high	low	close	adj close	volume	date	datetime	companyName	SMA20	SMA40	SMA100	SMA200	trendlower	trendhigher	pm40_01	ind_SMA	id_posiblepm40	ind_posicion	ind_high	iniTrendLow
398.5	399.5400085449219	398.2799987792969	399.45001220703125	399.45001220703125	7202759	2022-11-22	2022-11-22 14:30:00	SPY	395.70777740478513	395.71732025146486	388.6947894287109	382.25390869140625			0	0	1.0	-2		
399.44500732421875	400.07000732421875	399.3399963378906	399.8800048828125	399.8800048828125	11681347	2022-11-22	2022-11-22 15:30:00	SPY	395.9337783813477	395.7088203430176	388.8148895263672	382.4467086791992			0	1	1.0	-2		
399.54998779296875	402.07000732421875	399.489990234375	401.92498779296875	401.92498779296875	11469231	2022-11-23	2022-11-23 09:30:00	SPY	396.2550277709961	395.75694274902344	389.063239440918	382.62988357543946			0	1	1.0	-2		
401.9200134277344	402.739990234375	401.7799987792969	402.1099853515625	402.1099853515625	7275168	2022-11-23	2022-11-23 10:30:00	SPY	396.6657775878906	395.90144271850585	389.3358392333984	382.8199334716797			0	1	1.0	-2		
402.125	402.125	399.7699890136719	400.7699890136719	400.7699890136719	6502115	2022-11-23	2022-11-23 11:30:00	SPY	396.96927642822266	395.9615676879883	389.6173391723633	382.9933834838867			0	1	1.0	-2		
400.7799987792969	400.94000244140625	399.30999755859375	400.6499938964844	400.6499938964844	4816129	2022-11-23	2022-11-23 12:30:00	SPY	397.2802764892578	396.00499267578124	389.90663818359377	383.16678344726563			0	1	1.0	-2		
400.6600036621094	402.8800048828125	400.2099914550781	402.3525085449219	402.3525085449219	10366105	2022-11-23	2022-11-23 13:30:00	SPY	397.6031265258789	396.1005554199219	390.1992633056641	383.3687954711914			0	1	1.0	-2		
402.35101318359375	402.92999267578125	401.260009765625	402.3999938964844	402.3999938964844	9336356	2022-11-23	2022-11-23 14:30:00	SPY	397.9191268920898	396.2525550842285	390.49426330566405	383.5699453735352		402.92999267578125	0	1	1.0	-2	402.92999267578125	True
402.3999938964844	402.42999267578125	401.69000244140625	402.3999938964844	402.3999938964844	9100289	2022-11-23	2022-11-23 15:30:00	SPY	398.3421264648438	396.4018074035645	390.7851623535156	383.7834953308105			0	1	1.0	-2		
401.8299865722656	402.7799987792969	401.5350036621094	402.5	402.5	9238898	2022-11-25	2022-11-25 09:30:00	SPY	398.77870178222656	396.5570571899414	391.07816223144533	383.99893936157224			0	1	1.0	-2	402.7799987792969	False
402.4849853515625	402.9100036621094	402.18499755859375	402.27880859375	402.27880859375	5164644	2022-11-25	2022-11-25 10:30:00	SPY	399.20839233398436	396.7050277709961	391.3908502197266	384.21843338012695			0	1	1.0	-1	402.9100036621094	False
402.2850036621094	402.6099853515625	401.9800109863281	402.5199890136719	402.5199890136719	5010098	2022-11-25	2022-11-25 11:30:00	SPY	399.58539123535155	396.8730278015137	391.6368002319336	384.437508392334			0	1	1.0	-1		
399.6099853515625	400.80999755859375	398.8251953125	399.3500061035156	399.3500061035156	10615265	2022-11-28	2022-11-28 09:30:00	SPY	399.81939697265625	396.97477798461915	391.8877001953125	384.6459083557129			0	1	1.0	-1		
399.29998779296875	399.54998779296875	398.19000244140625	398.5400085449219	398.5400085449219	6145937	2022-11-28	2022-11-28 10:30:00	SPY	400.0313125610352	397.05052795410154	392.14590423583985	384.80498336791993			0	1	1.0	-1		
398.5400085449219	399.44000244140625	397.581298828125	398.5299987792969	398.5299987792969	7388477	2022-11-28	2022-11-28 11:30:00	SPY	400.2288131713867	397.2145278930664	392.41982818603515	384.96578338623044			0	1	1.0	-1		
398.5299987792969	398.9798889160156	397.4700012207031	397.7921142578125	397.7921142578125	4683137	2022-11-28	2022-11-28 12:30:00	SPY	400.26241912841795	397.3786079406738	392.67544921875	385.12054397583006			0	1	1.0	-1		
397.79998779296875	397.8500061035156	395.8800048828125	396.0050048828125	396.0050048828125	6396971	2022-11-28	2022-11-28 13:30:00	SPY	400.19467010498045	397.4539733886719	392.89039916992186	385.26537200927737			0	1	1.0	-1		
396.0	396.42999267578125	395.1099853515625	395.23779296875	395.23779296875	6711307	2022-11-28	2022-11-28 14:30:00	SPY	400.0825592041016	397.4749183654785	393.0792770385742	385.4078610229492			0	1	1.0	-1		
395.239990234375	396.2699890136719	395.1199951171875	395.9200134277344	395.9200134277344	10181537	2022-11-28	2022-11-28 15:30:00	SPY	399.956559753418	397.5414184570312	393.2699771118164	385.55256103515626			0	1	1.0	-1		
396.04998779296875	397.0299987792969	395.239990234375	397.0199890136719	397.0199890136719	10343952	2022-11-29	2022-11-29 09:30:00	SPY	399.88155975341795	397.66516799926757	393.4622769165039	385.70361099243166			0	1	1.0	-1		
397.0199890136719	397.29998779296875	393.29998779296875	393.739990234375	393.739990234375	9626654	2022-11-29	2022-11-29 10:30:00	SPY	399.59605865478517	397.6519180297852	393.6280767822266	385.81256088256833	393.29998779296875		1	1	1.0	0		
393.7300109863281	394.7200012207031	393.510009765625	394.2699890136719	394.2699890136719	5225566	2022-11-29	2022-11-29 11:30:00	SPY	399.3155578613281	397.6246681213379	393.7942767333984	385.94028579711915			0	1	1.0	1		
394.260009765625	395.2569885253906	393.9800109863281	394.0	394.0	4669643	2022-11-29	2022-11-29 12:30:00	SPY	398.9193084716797	397.58716812133787	393.9398767089844	386.0605877685547			0	1	1.0	1		
394.010009765625	396.0899963378906	393.92999267578125	394.7550048828125	394.7550048828125	5567450	2022-11-29	2022-11-29 13:30:00	SPY	398.5515594482422	397.6086685180664	394.0855267333984	386.1782627868652			0	1	1.0	1		
394.760009765625	395.32940673828125	394.1910095214844	394.94000244140625	394.94000244140625	8192202	2022-11-29	2022-11-29 14:30:00	SPY	398.2600601196289	397.61466827392576	394.2353268432617	386.29331283569337			0	1	1.0	1		
394.93499755859375	395.5299987792969	394.7900085449219	395.260009765625	395.260009765625	5859042	2022-11-29	2022-11-29 15:30:00	SPY	397.9905609130859	397.6354187011719	394.3682958984375	386.42124282836915			0	1	1.0	1		
395.489990234375	396.20941162109375	393.9049987792969	394.17999267578125	394.17999267578125	11063364	2022-11-30	2022-11-30 09:30:00	SPY	397.5819351196289	397.59253082275393	394.4700958251953	386.53644271850584			0	0	1.0	1		
394.18499755859375	395.2900085449219	393.8299865722656	395.114990234375	395.114990234375	7332409	2022-11-30	2022-11-30 10:30:00	SPY	397.2176849365234	397.56840591430665	394.57794586181643	386.65411773681643			0	0	1.0	1		
395.0899963378906	395.5400085449219	393.4800109863281	393.9200134277344	393.9200134277344	5371554	2022-11-30	2022-11-30 11:30:00	SPY	396.79368591308594	397.56790618896486	394.69974609375	386.7760598754883	393.4800109863281		0	0	1.0	1		
393.8999938964844	395.0	393.5000915527344	394.82000732421875	394.82000732421875	4235171	2022-11-30	2022-11-30 12:30:00	SPY	396.40968627929686	397.59419403076174	394.86664611816406	386.9091598510742			0	0	1.0	1		
394.79998779296875	403.45001220703125	394.05999755859375	403.05999755859375	403.05999755859375	26413101	2022-11-30	2022-11-30 13:30:00	SPY	396.44874572753906	397.82856903076174	395.06824615478513	387.0914099121094			0	0	1.0	1		
403.0899963378906	405.44000244140625	401.9700012207031	405.42999267578125	405.42999267578125	15856852	2022-11-30	2022-11-30 14:30:00	SPY	396.59424591064453	398.08981857299807	395.3027459716797	387.2779598999023			0	0	1.0	2		
405.4200134277344	407.54998779296875	405.3399963378906	407.4700012207031	407.4700012207031	42241331	2022-11-30	2022-11-30 15:30:00	SPY	397.00024566650393	398.4098213195801	395.5816461181641	387.4766598510742			0	0	1.0	2		
408.3599853515625	410.0	405.07000732421875	405.2699890136719	405.2699890136719	20421403	2022-12-01	2022-12-01 09:30:00	SPY	397.3367446899414	398.6840286254883	395.84294494628904	387.6602598571777		410.0	0	0	1.0	2		
405.2799987792969	407.6449890136719	404.75	406.4200134277344	406.4200134277344	11102793	2022-12-01	2022-12-01 10:30:00	SPY	397.73124542236326	398.980029296875	396.1243441772461	387.8316598510742			0	0	1.0	2		
406.69000244140625	407.44000244140625	405.5199890136719	406.9767150878906	406.9767150878906	7038475	2022-12-01	2022-12-01 11:30:00	SPY	398.1904754638672	399.22644729614257	396.421611328125	388.0150929260254			0	0	1.0	2		
406.9800109863281	408.0400085449219	406.4100036621094	406.6549987792969	406.6549987792969	6214922	2022-12-01	2022-12-01 12:30:00	SPY	398.7229751586914	399.4588226318359	396.7247613525391	388.2075178527832			0	0	1.0	2		
406.6400146484375	407.6000061035156	406.2699890136719	407.3299865722656	407.3299865722656	5873672	2022-12-01	2022-12-01 13:30:00	SPY	399.3275848388672	399.7050720214844	397.0450112915039	388.40846771240234			0	0	1.0	2		
407.32000732421875	408.32000732421875	407.05999755859375	407.3599853515625	407.3599853515625	7932900	2022-12-01	2022-12-01 14:30:00	SPY	399.8995834350586	399.9280715942383	397.3771112060547	388.62146759033203			0	0	1.0	2		
407.3699951171875	408.4700012207031	407.2900085449219	407.3800048828125	407.3800048828125	10099075	2022-12-01	2022-12-01 15:30:00	SPY	400.41758422851564	400.1495719909668	397.55336120605466	388.8319175720215			0	1	1.0	2		
403.5799865722656	404.6700134277344	403.29998779296875	403.6700134277344	403.6700134277344	23398467	2022-12-02	2022-12-02 09:30:00	SPY	400.9140853881836	400.25507202148435	397.6820614624023	389.02316757202146			0	1	1.0	2		
392.3500061035156	392.4800109863281	391.6099853515625	392.05999755859375	392.05999755859375	7055600	2023-01-20	2023-01-20 11:30:00	SPY	392.6374801635742	394.81375045776366	388.8871405029297	388.46793319702147			0	0	2.0	-2		
392.07000732421875	392.4200134277344	391.1000061035156	391.614990234375	391.614990234375	6656298	2023-01-20	2023-01-20 12:30:00	SPY	392.32622985839845	394.73974990844727	388.9746905517578	388.4603080749512			0	0	2.0	-2		
391.625	393.9700012207031	391.625	393.8500061035156	393.8500061035156	8210847	2023-01-20	2023-01-20 13:30:00	SPY	392.1207305908203	394.69824981689453	389.07524047851564	388.4446580505371			0	0	2.0	-2		
393.8599853515625	395.7900085449219	393.7950134277344	395.17999267578125	395.17999267578125	12391832	2023-01-20	2023-01-20 14:30:00	SPY	391.9917297363281	394.6797492980957	389.19103942871095	388.4412080383301			0	0	2.0	-2		
395.1700134277344	396.03948974609375	394.82000732421875	395.8399963378906	395.8399963378906	14354996	2023-01-20	2023-01-20 15:30:00	SPY	391.81297912597654	394.68275146484376	389.3133892822266	388.4426080322266			0	0	2.0	-2		
396.17999267578125	399.4599914550781	395.7200012207031	399.239990234375	399.239990234375	15098171	2023-01-23	2023-01-23 09:30:00	SPY	392.00672912597656	394.71775131225587	389.47142608642577	388.4563084411621			0	0	2.0	-2		
399.2349853515625	402.1099853515625	399.0799865722656	400.8599853515625	400.8599853515625	15418562	2023-01-23	2023-01-23 10:30:00	SPY	392.36372833251954	394.83425064086913	389.6464260864258	388.4847637939453			0	0	2.0	-2		
400.8599853515625	401.60009765625	400.375	401.05999755859375	401.05999755859375	7001432	2023-01-23	2023-01-23 11:30:00	SPY	392.75023345947267	394.924250793457	389.8491259765625	388.5092637634277			0	0	2.0	-2		
401.06500244140625	402.04998779296875	400.7200012207031	401.8800048828125	401.8800048828125	6184048	2023-01-23	2023-01-23 12:30:00	SPY	393.15773315429686	395.0542510986328	390.06942596435545	388.5376138305664			0	0	2.0	-2		
401.8800048828125	402.6449890136719	400.4849853515625	400.6499938964844	400.6499938964844	7789196	2023-01-23	2023-01-23 13:30:00	SPY	393.5491577148438	395.146501159668	390.26834991455075	388.56186386108396		402.6449890136719	0	0	2.0	-2		
400.66009521484375	401.07000732421875	398.7200927734375	399.82000732421875	399.82000732421875	11812091	2023-01-23	2023-01-23 14:30:00	SPY	393.96365814208986	395.22975158691406	390.4730999755859	388.5764138793945			0	0	2.0	-1		
399.8299865722656	401.0	399.4700012207031	400.5899963378906	400.5899963378906	10765926	2023-01-23	2023-01-23 15:30:00	SPY	394.54065856933596	395.34475173950193	390.68779998779297	388.5964437866211			0	0	2.0	-1		
398.8800048828125	400.1499938964844	397.6400146484375	399.29998779296875	399.29998779296875	14635172	2023-01-24	2023-01-24 09:30:00	SPY	395.11565856933595	395.41525115966795	390.8777499389648	388.61384368896483	397.6400146484375		0	0	2.0	-1		
399.2799987792969	400.75	398.4200134277344	400.6600036621094	400.6600036621094	8522971	2023-01-24	2023-01-24 10:30:00	SPY	395.7316589355469	395.52050399780273	391.06005004882815	388.6377372741699			0	1	2.0	-1		
400.6700134277344	400.70001220703125	399.2200012207031	400.30999755859375	400.30999755859375	5905509	2023-01-24	2023-01-24 11:30:00	SPY	396.29124908447267	395.58875427246096	391.25375	388.66203674316404			0	1	2.0	-1		
400.29998779296875	400.5899963378906	399.4407043457031	400.489990234375	400.489990234375	5069461	2023-01-24	2023-01-24 12:30:00	SPY	396.78224792480466	395.6439888000488	391.4583499145508	388.69808670043943			0	1	2.0	-1		
400.4700012207031	401.1499938964844	399.95001220703125	400.4100036621094	400.4100036621094	6767498	2023-01-24	2023-01-24 13:30:00	SPY	397.29024810791014	395.692488861084	391.6730499267578	388.72793670654295		401.1499938964844	0	1	2.0	-1	401.1499938964844	True
400.4100036621094	401.05999755859375	400.30999755859375	400.531005859375	400.531005859375	5842523	2023-01-24	2023-01-24 14:30:00	SPY	397.8822982788086	395.71251373291017	391.88316009521486	388.7539418029785			0	1	2.0	-1	401.05999755859375	False
400.54998779296875	400.6499938964844	399.2900085449219	400.1600036621094	400.1600036621094	6212721	2023-01-24	2023-01-24 15:30:00	SPY	398.3427978515625	395.7741386413574	392.0948602294922	388.77794189453124			0	1	2.0	-1	400.6499938964844	False
395.67999267578125	396.6499938964844	394.2200012207031	394.8500061035156	394.8500061035156	19581071	2023-01-25	2023-01-25 09:30:00	SPY	398.4677978515625	395.70513916015625	392.23976043701174	388.7748419189453			0	1	2.0	-1		
394.8500061035156	396.42999267578125	393.55999755859375	396.0880126953125	396.0880126953125	11853603	2023-01-25	2023-01-25 10:30:00	SPY	398.66919860839846	395.6533393859863	392.3923406982422	388.77648193359374	393.55999755859375		1	1	2.0	0		
396.1099853515625	397.7250061035156	395.9549865722656	396.6794128417969	396.6794128417969	8079849	2023-01-25	2023-01-25 11:30:00	SPY	398.9224197387695	395.624324798584	392.5426348876953	388.7695039367676			0	1	2.0	1		
396.68499755859375	398.8900146484375	396.6600036621094	398.7550048828125	398.7550048828125	5765805	2023-01-25	2023-01-25 12:30:00	SPY	399.16766967773435	395.64420013427736	392.694375	388.768678894043			0	1	2.0	1		
398.760009765625	400.2099914550781	398.4150085449219	399.32000732421875	399.32000732421875	9405229	2023-01-25	2023-01-25 13:30:00	SPY	399.3746704101562	395.6832000732422	392.835625	388.7378788757324			0	1	2.0	1		
399.3500061035156	400.70001220703125	398.78009033203125	399.9750061035156	399.9750061035156	8247257	2023-01-25	2023-01-25 14:30:00	SPY	399.5814208984375	395.697200012207	392.9870751953125	388.7149038696289			0	1	2.0	1		
399.9800109863281	400.3800048828125	399.2200012207031	400.3699951171875	400.3699951171875	9989148	2023-01-25	2023-01-25 15:30:00	SPY	399.63792114257814	395.8223251342773	393.1757751464844	388.7154039001465			0	1	2.0	1		
403.1300048828125	404.07000732421875	400.79998779296875	402.69000244140625	402.69000244140625	15855749	2023-01-26	2023-01-26 09:30:00	SPY	399.7294219970703	396.04657516479494	393.3750250244141	388.7197039794922			0	1	2.0	1		
402.69000244140625	403.1050109863281	400.0299987792969	401.03009033203125	401.03009033203125	9810952	2023-01-26	2023-01-26 10:30:00	SPY	399.72792663574216	396.23908004760744	393.5480258178711	388.7163543701172			0	1	2.0	1		
401.0	402.82000732421875	400.8299865722656	402.2699890136719	402.2699890136719	7524260	2023-01-26	2023-01-26 11:30:00	SPY	399.74742584228517	396.452579498291	393.76832458496096	388.719104309082			0	1	2.0	1		
402.30999755859375	402.75	401.5979919433594	402.2900085449219	402.2900085449219	4519756	2023-01-26	2023-01-26 12:30:00	SPY	399.82942657470704	396.6892921447754	393.9981747436523	388.72080429077147			0	1	2.0	1		
402.32000732421875	403.5400085449219	402.2950134277344	403.05999755859375	403.05999755859375	6790699	2023-01-26	2023-01-26 13:30:00	SPY	399.9914260864258	396.9775421142578	394.2312747192383	388.7154542541504			0	1	2.0	1		
403.07000732421875	404.2099914550781	402.9599914550781	403.8599853515625	403.8599853515625	7751508	2023-01-26	2023-01-26 14:30:00	SPY	400.15492553710936	397.34779205322263	394.46217468261716	388.7103546142578			0	1	2.0	2		
403.8599853515625	404.9200134277344	403.5	404.70001220703125	404.70001220703125	10231887	2023-01-26	2023-01-26 15:30:00	SPY	400.4249267578125	397.7702926635742	394.7073748779297	388.71505462646485			0	1	2.0	2		
403.6549987792969	406.6300048828125	403.44000244140625	405.7099914550781	405.7099914550781	12747002	2023-01-27	2023-01-27 09:30:00	SPY	400.67742614746095	398.2045425415039	394.9682748413086	388.72310455322264			0	1	2.0	2		
405.7099914550781	405.79998779296875	403.57000732421875	404.9800109863281	404.9800109863281	8322342	2023-01-27	2023-01-27 10:30:00	SPY	400.91092681884766	398.60108795166013	395.2242749023437	388.74700454711916			0	1	2.0	2		
405.0	406.54998779296875	404.8900146484375	405.9599914550781	405.9599914550781	7816237	2023-01-27	2023-01-27 11:30:00	SPY	401.18442687988284	398.98333740234375	395.4545748901367	388.78325454711916			0	1	2.0	2		
405.9700012207031	406.760009765625	405.64990234375	406.05999755859375	406.05999755859375	6516020	2023-01-27	2023-01-27 12:30:00	SPY	401.46692657470703	399.3785873413086	395.6617749023437	388.8165045166016			0	1	2.0	2		
406.0400085449219	407.20001220703125	406.010009765625	407.04998779296875	407.04998779296875	5167114	2023-01-27	2023-01-27 13:30:00	SPY	401.7928756713867	399.8375869750977	395.87656372070313	388.89595443725585			0	1	2.0	2		
407.0450134277344	408.1600036621094	406.92010498046875	407.6199951171875	407.6199951171875	7328612	2023-01-27	2023-01-27 14:30:00	SPY	402.16587524414064	400.25433654785155	396.0914636230469	388.98515396118165		408.1600036621094	0	1	2.0	2		
407.6199951171875	407.885009765625	405.54998779296875	405.67999267578125	405.67999267578125	12334964	2023-01-27	2023-01-27 15:30:00	SPY	402.7073745727539	400.5875862121582	396.2707635498047	389.0647039794922			0	1	2.0	2		
402.79998779296875	405.1300048828125	402.6600036621094	403.8999938964844	403.8999938964844	13536129	2023-01-30	2023-01-30 09:30:00	SPY	403.0979736328125	400.88358612060546	396.42606353759766	389.1422538757324			0	1	2.0	2		
403.1300048828125	404.07000732421875	400.79998779296875	402.69000244140625	402.69000244140625	15855749	2023-01-26	2023-01-26 09:30:00	SPY	399.7294219970703	396.04657516479494	393.3750250244141	388.7197039794922			0	1	3.0	-2		
